csfgID,ra,dec,X0,Y0,PA,ell,n,I_e,r_e,z,R_e_kpc,logMstars
15142,207.324941151159,1.94750157451349,119.1482,120.3904,17.1911,0.240597,1.44341,14.866,0.00841447056912,0.0735016,2.4253448319710773,10.2
15151,5.06369310900383,0.185287078688534,119.9661,120.1603,59.9321,0.301227,0.720531,9.52626,0.006188801971968,0.08528049,2.041682137037077,
15175,216.899597993746,1.87857999436231,120.6821,119.6888,10.1061,0.415181,1.34229,4.27849,0.010145419446624001,0.02447074,1.0314505267621294,8.769
15221,164.165531842623,3.94897164298626,119.7841,120.474,-30.5976,0.255866,1.4499,8.16607,0.0068000992903536,0.09924573,2.5694784880746937,9.706
15257,5.25429085379662,0.880031260033428,120.357,120.7261,31.4657,0.320584,1.12302,36.2259,0.0040997066421695995,0.09839849,1.5373248704564952,9.154
15289,6.6048045432108,0.0548444774176408,119.7883,120.3282,47.1929,0.394871,0.947725,7.90713,0.0079626580520256,0.04521338,1.4594508767454935,9.101
15314,169.854380757483,-0.908331153575317,119.4233,120.4711,27.5775,0.20911,0.876377,4.02914,0.008575983444335999,0.05017945,1.7341484414978385,
15379,155.662033750684,1.88554319939816,119.2822,120.671,-11.0614,0.479228,0.765761,12.9914,0.008540064544704,0.05873123,2.0016198618438694,9.791
15389,24.579815869599,0.544626532365581,119.4216,118.3777,77.7186,0.353449,0.72569,8.37106,0.008960747348784,0.05279361,1.900567984864641,9.637
15594,158.138888218341,0.934892763004589,119.8812,120.2212,-57.469,0.379441,1.24248,3.30494,0.011580872251872001,0.02824007,1.3524113742751338,8.671
15601,182.078942259888,-1.46657385246993,120.3173,120.857,66.2459,0.16732,1.26478,4.50353,0.00868528766952,0.02436067,0.8791563043307791,8.97
15647,189.699919638221,-1.99536884855272,119.4731,120.4723,-64.8292,1.46853E-8,0.870432,6.68234,0.0062297788390992,0.1297584,2.972246257264872,
15685,216.141941128993,0.505227513402867,120.8364,120.6994,-23.0669,0.569383,0.973021,6.80321,0.010177184459904003,0.03168992,1.328276597136718,9.017
15694,337.85960905154,-0.0823094052005757,120.3201,120.3681,65.1056,1.72948E-7,0.998379,19.4498,0.003917098540185599,0.04927118,0.7785716294579741,9.11
15754,188.687521300353,0.36660394966997,119.2736,120.5458,105.841,0.168283,1.57512,11.2133,0.0084767788644,0.0226011,0.7979104087648387,9.212
15801,235.480813730319,43.950066293419,120.597,119.2913,46.4236,0.295333,1.00311,19.3294,0.0044007982436879995,0.09449101,1.591626471270442,9.814
15862,218.537644789663,3.45709036759474,120.4166,119.1462,57.2293,0.356862,0.915684,4.45036,0.011043962078688001,0.02710942,1.239773712278985,8.816
